iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,57077,0,0,0,0,0,0,0,0,0,0,0
10,21260,20255,10193,5084,246,34,5,0,0,0,0,0,0
20,22649,18370,10091,5459,417,69,20,1,1,0,0,0,0
30,24101,16216,10310,5707,626,90,24,2,1,0,0,0,0
40,25601,14122,10379,5940,848,146,34,5,2,0,0,0,0
50,26812,12521,10340,6050,1115,179,51,7,2,0,0,0,0
60,27668,11375,10266,6241,1274,189,47,13,3,1,0,0,0
70,28223,10672,10180,6322,1408,200,59,11,2,0,0,0,0
80,28661,10174,10032,6412,1490,230,55,21,2,0,0,0,0
90,28836,9957,9963,6484,1535,232,55,9,5,1,0,0,0
100,29010,9656,10128,6406,1543,253,60,19,1,1,0,0,0
110,29233,9498,9896,6478,1603,290,64,13,2,0,0,0,0
120,29260,9345,10059,6492,1563,284,56,15,2,1,0,0,0
130,29241,9462,9939,6467,1598,292,64,12,2,0,0,0,0
140,29285,9417,9922,6481,1587,304,64,15,2,0,0,0,0
150,29377,9259,9972,6449,1666,281,55,16,2,0,0,0,0
160,29341,9366,9803,6616,1576,313,47,14,1,0,0,0,0
170,29385,9271,9925,6470,1672,281,58,15,0,0,0,0,0
180,29348,9373,9877,6446,1644,311,66,11,1,0,0,0,0
190,29384,9246,9959,6486,1654,274,56,13,4,0,1,0,0
200,29416,9275,9812,6572,1625,312,56,8,0,0,1,0,0
210,29393,9279,9877,6525,1624,314,54,10,0,1,0,0,0
220,29548,9092,9858,6536,1661,297,67,16,1,0,1,0,0
230,29604,9045,9784,6575,1697,300,57,12,2,1,0,0,0
240,29560,9094,9811,6542,1715,275,64,12,4,0,0,0,0
250,29510,9137,9891,6500,1657,287,76,14,4,1,0,0,0
260,29517,9112,9892,6531,1644,295,69,13,4,0,0,0,0
270,29637,8975,9835,6592,1656,291,65,21,5,0,0,0,0
280,29653,8956,9833,6576,1671,306,65,14,2,1,0,0,0
290,29513,9139,9879,6502,1652,305,73,9,5,0,0,0,0
300,29528,9055,9943,6570,1592,297,72,19,1,0,0,0,0
310,29446,9161,9974,6504,1605,302,73,8,4,0,0,0,0
320,29524,9083,9899,6567,1619,304,70,9,2,0,0,0,0
330,29563,9046,9898,6529,1658,301,66,13,3,0,0,0,0
340,29596,9006,9883,6526,1698,292,59,15,2,0,0,0,0
350,29713,8938,9751,6566,1714,308,69,16,1,1,0,0,0
360,29737,8875,9765,6616,1700,300,69,10,5,0,0,0,0
370,29653,8969,9785,6650,1621,311,72,12,3,1,0,0,0
380,29769,8852,9733,6646,1677,308,75,14,2,1,0,0,0
390,29689,8912,9848,6539,1691,316,68,12,2,0,0,0,0
400,29583,9028,9838,6622,1625,295,72,12,2,0,0,0,0
410,29584,9012,9935,6507,1633,313,76,15,2,0,0,0,0
420,29720,8915,9764,6579,1695,318,77,8,0,1,0,0,0
430,29650,8996,9746,6620,1683,304,70,7,1,0,0,0,0
440,29645,9032,9758,6526,1721,324,54,14,2,1,0,0,0
450,29703,8923,9749,6626,1701,294,67,11,2,1,0,0,0
