iteration,0,1,2,3,4,5,6,7,8,9,10,11
0,0,57077,0,0,0,0,0,0,0,0,0,0
10,21432,20017,10195,5115,274,35,9,0,0,0,0,0
20,23435,17194,10244,5541,561,85,16,1,0,0,0,0
30,25669,14036,10357,5949,894,133,34,5,0,0,0,0
40,27270,11916,10317,6078,1245,202,40,9,0,0,0,0
50,28022,10977,10199,6214,1350,250,49,12,4,0,0,0
60,28554,10416,9930,6318,1534,253,59,12,1,0,0,0
70,28797,10084,9919,6388,1543,275,55,15,0,1,0,0
80,28883,9910,10013,6386,1533,275,63,14,0,0,0,0
90,28999,9842,9883,6404,1581,288,68,11,1,0,0,0
100,29198,9579,9850,6456,1622,296,71,4,1,0,0,0
110,29296,9453,9853,6461,1631,301,69,12,1,0,0,0
120,29381,9315,9845,6564,1572,326,58,14,2,0,0,0
130,29339,9346,9866,6550,1627,272,59,17,1,0,0,0
140,29313,9409,9849,6486,1669,285,54,9,3,0,0,0
150,29355,9362,9808,6538,1665,279,60,10,0,0,0,0
160,29491,9102,9893,6585,1670,275,50,9,2,0,0,0
170,29409,9329,9768,6544,1650,299,65,9,4,0,0,0
180,29405,9297,9852,6470,1687,296,55,12,3,0,0,0
190,29474,9210,9825,6548,1639,291,71,16,3,0,0,0
200,29565,9104,9766,6600,1668,294,63,15,2,0,0,0
210,29497,9135,9855,6589,1628,296,66,11,0,0,0,0
220,29550,9160,9731,6565,1694,300,57,18,2,0,0,0
230,29702,8934,9762,6605,1667,324,67,14,2,0,0,0
240,29593,9112,9723,6577,1670,316,75,10,1,0,0,0
250,29554,9084,9849,6528,1690,298,60,11,3,0,0,0
260,29560,9118,9780,6583,1636,308,79,12,1,0,0,0
270,29637,9021,9791,6525,1717,304,68,9,5,0,0,0
280,29709,8971,9660,6665,1673,311,74,12,2,0,0,0
290,29684,8982,9707,6633,1672,321,60,16,1,1,0,0
300,29625,9046,9708,6655,1661,307,59,12,3,1,0,0
310,29680,8975,9736,6616,1655,348,52,10,5,0,0,0
320,29696,8910,9810,6598,1671,301,73,18,0,0,0,0
330,29667,8920,9794,6723,1571,322,57,20,3,0,0,0
340,29711,8933,9711,6652,1688,293,75,13,1,0,0,0
350,29514,9071,9916,6592,1606,312,51,13,1,1,0,0
360,29577,9020,9878,6573,1661,293,56,15,4,0,0,0
370,29503,9142,9848,6567,1636,307,61,12,0,1,0,0
380,29611,9038,9792,6562,1701,296,55,21,1,0,0,0
390,29586,8994,9881,6604,1642,294,63,11,2,0,0,0
400,29691,8939,9730,6675,1658,305,62,13,3,1,0,0
410,29621,9018,9785,6613,1647,314,64,13,1,1,0,0
420,29631,9044,9720,6617,1678,317,49,17,4,0,0,0
430,29576,9016,9891,6597,1606,304,70,14,1,2,0,0
440,29642,8915,9865,6660,1618,300,62,12,3,0,0,0
450,29758,8872,9718,6632,1709,310,63,13,0,2,0,0
460,29623,8998,9797,6623,1664,293,60,17,2,0,0,0
470,29582,9048,9831,6583,1644,312,62,11,3,1,0,0
480,29668,8959,9731,6686,1666,285,67,13,2,0,0,0
490,29673,8966,9773,6566,1720,305,58,14,2,0,0,0
500,29764,8844,9792,6560,1717,317,68,12,3,0,0,0
510,29678,8961,9723,6643,1706,294,60,10,1,1,0,0
520,29677,8980,9721,6631,1681,303,69,13,1,0,1,0
530,29750,8832,9785,6647,1683,294,73,12,0,0,1,0
540,29691,8985,9646,6664,1733,292,51,11,3,1,0,0
550,29657,8990,9761,6607,1662,321,63,15,1,0,0,0
560,29628,9015,9726,6728,1588,305,64,19,4,0,0,0
570,29561,9077,9763,6687,1619,295,66,6,3,0,0,0
580,29533,9142,9770,6620,1645,271,78,13,4,1,0,0
590,29671,8979,9717,6662,1671,294,64,13,5,1,0,0
