iteration,0,1,2,3,4,5,6,7,8,9,10,11
0,0,57077,0,0,0,0,0,0,0,0,0,0
10,21675,19620,10304,5133,287,46,12,0,0,0,0,0
20,24032,16277,10382,5653,620,84,26,3,0,0,0,0
30,26395,13016,10430,5988,1051,158,30,9,0,0,0,0
40,27751,11249,10266,6276,1277,199,48,11,0,0,0,0
50,28554,10316,10091,6290,1499,263,54,7,2,1,0,0
60,29011,9750,9971,6412,1592,276,55,9,1,0,0,0
70,29225,9554,9854,6407,1684,277,61,13,2,0,0,0
80,29409,9228,9916,6541,1616,287,68,9,3,0,0,0
90,29464,9198,9849,6530,1679,283,60,12,2,0,0,0
100,29525,9117,9805,6631,1638,274,74,13,0,0,0,0
110,29517,9219,9707,6593,1642,314,70,13,2,0,0,0
120,29561,9109,9818,6489,1720,305,67,6,2,0,0,0
130,29669,9003,9768,6537,1675,337,75,12,1,0,0,0
140,29561,9152,9689,6650,1633,307,67,16,2,0,0,0
150,29681,9007,9709,6566,1714,317,68,15,0,0,0,0
160,29741,8917,9715,6594,1708,318,66,15,2,1,0,0
170,29717,8983,9621,6691,1655,322,71,13,4,0,0,0
180,29610,9068,9760,6559,1689,307,69,13,2,0,0,0
190,29727,8895,9792,6533,1748,299,71,10,2,0,0,0
200,29633,8983,9851,6553,1652,319,73,12,1,0,0,0
210,29637,8971,9809,6611,1686,283,65,14,1,0,0,0
220,29655,8936,9839,6620,1631,310,76,7,3,0,0,0
230,29654,8987,9777,6602,1639,345,63,9,1,0,0,0
240,29738,8887,9751,6623,1662,337,67,12,0,0,0,0
250,29634,8954,9812,6670,1641,292,58,12,3,1,0,0
260,29474,9165,9870,6562,1636,298,56,12,4,0,0,0
270,29714,8905,9792,6590,1677,311,67,16,4,1,0,0
280,29628,8963,9861,6606,1632,294,77,14,2,0,0,0
290,29570,8973,9965,6584,1603,303,63,12,3,1,0,0
300,29566,9057,9782,6684,1627,285,65,7,4,0,0,0
310,29645,8928,9793,6726,1630,283,58,11,2,1,0,0
320,29582,9048,9802,6624,1649,295,60,15,1,1,0,0
330,29617,8990,9834,6624,1612,314,76,7,3,0,0,0
340,29545,9091,9823,6631,1589,314,69,13,2,0,0,0
350,29667,8953,9773,6629,1690,278,70,15,2,0,0,0
360,29646,8899,9963,6491,1711,292,54,17,4,0,0,0
370,29651,9048,9718,6571,1680,316,75,14,4,0,0,0
380,29679,8921,9833,6606,1627,323,71,14,2,1,0,0
390,29646,8990,9782,6598,1671,317,56,13,3,1,0,0
400,29614,9000,9820,6605,1666,294,62,14,0,2,0,0
410,29714,8929,9762,6560,1730,291,72,16,2,1,0,0
420,29675,8896,9871,6580,1671,305,66,11,1,1,0,0
430,29652,8965,9797,6611,1670,300,72,7,3,0,0,0
440,29681,8910,9829,6593,1694,284,70,14,2,0,0,0
450,29645,8992,9759,6654,1631,313,68,13,1,1,0,0
460,29759,8870,9745,6601,1690,331,69,11,1,0,0,0
470,29737,8895,9674,6708,1692,297,63,9,2,0,0,0
480,29694,8960,9720,6647,1643,325,77,11,0,0,0,0
490,29692,8852,9914,6573,1646,325,57,17,1,0,0,0
500,29817,8791,9744,6625,1684,330,67,17,2,0,0,0
510,29827,8764,9795,6552,1741,307,72,16,3,0,0,0
520,29673,8976,9810,6514,1695,317,75,14,1,2,0,0
530,29642,8981,9814,6574,1679,306,69,10,2,0,0,0
540,29650,8963,9833,6566,1669,316,69,9,1,1,0,0
550,29688,8886,9850,6585,1691,308,55,10,4,0,0,0
560,29774,8811,9755,6692,1632,338,64,10,1,0,0,0
570,29602,9058,9737,6678,1606,305,77,12,2,0,0,0
580,29707,8874,9821,6638,1648,296,78,13,2,0,0,0
590,29774,8834,9776,6569,1736,305,69,11,3,0,0,0
600,29676,8947,9756,6635,1702,277,70,12,2,0,0,0
610,29706,8904,9767,6633,1686,311,53,13,4,0,0,0
620,29661,8932,9866,6544,1682,317,60,12,3,0,0,0
630,29577,9032,9825,6652,1617,294,59,21,0,0,0,0
640,29636,8965,9843,6578,1674,304,63,14,0,0,0,0
650,29697,8929,9752,6632,1686,302,61,17,0,1,0,0
660,29720,8923,9680,6691,1688,297,64,12,2,0,0,0
670,29626,9026,9727,6663,1667,291,60,11,6,0,0,0
680,29604,8965,9866,6660,1617,280,66,16,3,0,0,0
690,29688,8872,9805,6705,1660,264,68,9,5,1,0,0
700,29653,8994,9766,6605,1664,315,61,14,4,1,0,0
710,29681,8902,9765,6728,1644,278,66,7,4,2,0,0
720,29639,8942,9842,6638,1645,288,70,8,4,1,0,0
730,29650,9033,9681,6667,1654,310,65,12,4,1,0,0
740,29760,8754,9845,6687,1664,300,57,6,4,0,0,0
